"diplome_r","Delai_r","sexe_r","StatutP_r","StatutM_r","Conseil_r","Diff2_r","Exppro_r","Abs1_r","Abs2_r"
"BAC+2","Facile","Femme","agric","agric","aucun","Plutot facile",1,0,17
"BAC+2","Facile","Femme","agric",NA,"un","Plutot facile",2,0,17
"Aucun","Facile","Homme",NA,"NSP","un","Plutot facile",1,6,27
"BAC","Facile","Femme","agric","ing-cadre-prof_lib","un","Plutot facile",0,0,0
"BAC","Facile","Homme","ouvrir","prof_interm","aucun","Plutot dificile",0,14,57
"BAC","Dificile","Homme","ouvrir",NA,"aucun","Plutot facile",3,71,79
"BAC","Facile","Femme","artis-commerc","artis-commerc","aucun","Plutot facile",2,3,11
"BAC","Facile","Femme","ouvrir","ouvrir","aucun","Plutot facile",2,1,1
"CAP","Facile","Femme","ouvrir","employe","aucun","Plutot facile",0,0,NA
"BAC","Dificile","Femme","ouvrir","employe","aucun","Plutot dificile",6,86,NA
"BAC+2","Facile","Homme","agric","employe","aucun","Plutot facile",2,0,48
"BAC","Facile","Femme",NA,NA,"un","Plutot facile",4,8,12
"BAC+2","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,20
"CAP","Dificile","Femme","artis-commerc","employe","aucun","Plutot dificile",2,8,NA
"BAC","Dificile","Homme","artis-commerc","employe","aucun","Plutot dificile",NA,17,NA
"Aucun","Facile","Femme","employe","employe","un","Plutot facile",NA,0,0
"BAC+2","Facile","Homme","artis-commerc","employe","aucun","Plutot facile",NA,0,25
"BAC+2","Facile","Femme","employe","employe","aucun","Plutot facile",NA,0,13
"BAC+2","Facile","Homme","ouvrir","employe","aucun","Tres facile",NA,4,4
"BAC","Facile","Homme","artis-commerc","artis-commerc","aucun","Plutot facile",NA,0,3
"BAC+2","Dificile","Femme","ouvrir","employe","aucun","Plutot facile",NA,2,34
"CAP","Facile","Femme","artis-commerc","employe","aucun","Plutot facile",NA,0,0
"BAC+2","Dificile","Femme","prof_interm","prof_interm","aucun","Plutot dificile",NA,12,12
"BAC+2","Facile","Homme","prof_interm","employe","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Femme","prof_interm","ing-cadre-prof_lib","aucun","Plutot facile",NA,3,17
"BAC+2","Facile","Femme","prof_interm","ing-cadre-prof_lib","aucun","Plutot dificile",NA,0,33
"BAC+2","Dificile","Femme","employe","ouvrir","aucun","Tres dificile",NA,41,41
"BAC","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,0
"CAP","Facile","Homme","employe","employe","aucun","Plutot dificile",NA,3,3
"BAC","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Tres facile",NA,5,NA
"BAC","Dificile","Homme","artis-commerc","artis-commerc","aucun","Plutot facile",NA,6,87
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Plutot dificile",NA,0,0
">=BAC+3","Facile","Femme",NA,"employe","aucun","Plutot facile",NA,0,0
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","employe","aucun","Tres facile",NA,0,0
">=BAC+3","Facile","Homme","employe","employe","aucun","Plutot facile",NA,0,0
">=BAC+3","Facile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot dificile",NA,0,0
"BAC+2","Dificile","Femme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,NA
"BAC+2","Facile","Homme","prof_interm","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,37
"BAC+2","Facile","Homme","agric","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,4
"BAC+2","Facile","Homme","ouvrir","employe","aucun","Plutot dificile",NA,4,4
">=BAC+3","Facile","Homme","ouvrir",NA,"aucun","Plutot dificile",NA,0,29
"BAC+2","Facile","Femme","ing-cadre-prof_lib","prof_interm","aucun","Plutot facile",NA,0,9
"BAC+2","Dificile","Homme",NA,"employe","aucun","Plutot facile",NA,0,59
"BAC+2","Facile","Femme","ouvrir","employe","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Homme","ing-cadre-prof_lib","ing-cadre-prof_lib","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Femme","artis-commerc","artis-commerc","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Femme","employe","ouvrir","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Homme","NSP","employe","aucun","Plutot facile",NA,0,19
"BAC+2","Facile","Femme","ouvrir","employe","aucun","Plutot facile",NA,0,11
"BAC+2","Facile","Homme","ouvrir","prof_interm","aucun","Plutot facile",NA,0,1
"BAC+2","Facile","Homme","ing-cadre-prof_lib","employe","aucun","Plutot facile",NA,0,0
"BAC+2","Facile","Femme","artis-commerc","ing-cadre-prof_lib","un","Plutot dificile",NA,0,0
"BAC+2","Facile","Femme","ouvrir","employe","aucun","Plutot facile",NA,7,18
"BAC+2","Facile","Femme","artis-commerc","ouvrir","aucun","Plutot dificile",NA,0,26
"BAC+2","Dificile","Homme","ouvrir","prof_interm","aucun","Plutot dificile",NA,0,27
">=BAC+3","Facile","Homme","employe","employe","aucun","Plutot facile",NA,0,0
">=BAC+3","Facile","Homme","employe",NA,"un","Plutot dificile",NA,0,0
